Eje,Estrategia,Actividad,Proceso,Producto,# Entregable333.   Componentes transversales,3.1.  Monitoreo de los estudiantes,Evaluación Acumulada Estudiantes,Evaluación Acumulada competencias socioemocionales,1) Base de datos con los resultados de la prueba acumulada aplicada a los estudiantes de las IEM al finalizar la intervención por parte de la IES.  ,Quinto entregable,Evaluación Acumulada competencias socioemocionales,29-Nov-25,X,   Componentes transversales,3.1.  Monitoreo de los estudiantes,Evaluación Acumulada Estudiantes,Evaluación Acumulada de competencias básicas: lenguaje,1) Base de datos con los resultados de la prueba acumulada aplicada a los estudiantes de las IEM al finalizar la intervención por parte de la IES.  ,Quinto entregable,Evaluación Acumulada de competencias básicas: lenguaje,29-Nov-25,X,   Componentes transversales,3.1.  Monitoreo de los estudiantes,Evaluación Acumulada Estudiantes,Evaluación Acumulada de competencias básicas: matemáticas,1) Base de datos con los resultados de la prueba acumulada aplicada a los estudiantes de las IEM al finalizar la intervención por parte de la IES.  ,Quinto entregable,Evaluación Acumulada de competencias básicas: matemáticas,29-Nov-25,X,IES,Nombre Entregable,Fecha entrega,IES,Necesita Revisión?
Alistamiento, Conformar un equipo de trabajo ,"la relación del equipo de trabajo de la IES que se encargará de implementar el PTIES con sus respectivos roles, responsabilidades y copia de las hojas de vida."," Conformar un equipo de trabajo multidisciplinario que se encargará de adelantar todas las actividades a cargo 
de la IES a lo largo de la implementación del PTIES ","la relación del equipo de trabajo de la IES que se encargará de implementar el PTIES con sus respectivos roles, responsabilidades y copia de las hojas de vida.",Primer entregable,"Equipo de trabajo IES, roles y responsabilidades",8-Aug-25,X,
Alistamiento, Identificar los intereses y expectativas de los estudiantes,a) Estudiantes: Diagnóstico enfocado en identificar los intereses y expectativas de los estudiantes frente a la educación posmedia,Diagnóstico ,Documento y registro en base de datos,Segundo entregable,Diagnostico intereses y expectativas,1-Sep-25,X,
Alistamiento,Identificar recursos disponibles en la IEM," b) IEM :  Diagnóstico sobre los recursos disponibles en la IEM (cuerpo docente,  infraestructura para realizar actividades de nivelación de competencias y horarios de atención de la IEM), el PEI y las dinámicas pedagógicas, en las áreas de intervención del PTIES.",Diagnóstico ,Documento,Primer entregable,Diagnostico recursos disponibles IEM,8-Aug-25,X,X
Alistamiento,Caracterización de las familias y la comunidad,"c) Relación familia – escuela – comunidad: Caracterización de las familias y la comunidad,  utilizando datos sociodemográficos,  nivel de escolaridad de padres, madres o acudientes, necesidades y percepciones frente a la formación y las trayectorias de sus hijos o jóvenes a su cargo, entre otros.",Diagnóstico - caracterización,1) Un informe que dé cuenta de las actividades desarrolladas en el marco del plan de acción para el fortalecimiento de la relación familia – escuela – comunidad. ,Segundo entregable,"c) Relación familia – escuela – comunidad: Caracterización de las familias y la comunidad,  utilizando datos sociodemográficos,  nivel de escolaridad de padres, madres o acudientes, necesidades y percepciones frente a la formación y las trayectorias de sus hijos o jóvenes a su cargo, entre otros.",1-Sep-25,X,
Alistamiento,Diagnóstico de la dinámica regional," d) Contexto socioeconómico :  Documento de diagnóstico de la dinámica regional, las vocaciones y realidades de desarrollo social de los territorios, donde se implementarán los PTIES ",Diagnóstico,Documento,Segundo entregable," d) Contexto socioeconómico :  Documento de diagnóstico de la dinámica regional, las vocaciones y realidades de desarrollo social de los territorios, donde se implementarán los PTIES ",1-Sep-25,X,
Alistamiento, Socialización ,e) Socialización de diagnósticos y plan de trabajo  ," Socialización: Una vez culminados los diagnósticos y definido el plan de trabajo, la IES deberá socializarlos con la IEM y su comunidad educativa. Deberán convenir la versión final del plan de trabajo y los equipos de la IES y la IEM que se harán cargo de llevarlo a cabo. ",Informe y registro,Segundo entregable,e) Socialización de diagnósticos y plan de trabajo  ,1-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.1.    Diagnóstico,Diagnóstico de competencias básicas: matemáticas,Una evaluación diagnóstica en competencias matemáticas aplicada a estudiantes beneficiarios PTIES ,Segundo entregable,Diagnóstico de competencias básicas: matemáticas,1-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.1.    Diagnóstico,Diagnóstico de competencias básicas: lenguaje,Una evaluación diagnóstica en competencias lenguaje aplicada a estudiantes beneficiarios PTIES ,Segundo entregable,Diagnóstico de competencias básicas: lenguaje,1-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.1.    Diagnóstico,Diagnóstico de competencias socioemocionales,Una evaluación diagnóstica en competencias socioemocionales aplicada a estudiantes beneficiarios PTIES ,Segundo entregable,Diagnóstico de competencias socioemocionales,1-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.1.    Diagnóstico,Socializar los diagnósticos y plan de trabajo con comunidad educativa.,Informe de la actividad de socialización de diagnósticos y plan de trabajo IES  con registro de asistentes de la comunidad educativa ,Primer entregable (Plan de trabajo),Socializar los diagnósticos y plan de trabajo con comunidad educativa.,8-Aug-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.2. Ajuste a los planes de estudio,Ajuste a los planes de estudio grado 10,3) Planes de estudio ajustados para la implementación de la estrategia de desarrollo de aprendizajes y competencias grado 10,Tercer entregable,Ajuste a los planes de estudio grado 10,26-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.2. Ajuste a los planes de estudio,Ajuste a los planes de estudio grado 11,3) Planes de estudio ajustados para la implementación de la estrategia de desarrollo de aprendizajes y competencias grado 11,Tercer entregable,Ajuste a los planes de estudio grado 11,26-Sep-25,x,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.3   Ajuste/diseño y provisión de materiales de estudio,Socialización y entrega de materiales (físico - digital),"Jornada de socialización 
Materiales de estudio diseñados / adaptados. ",Tercer entregable,Socialización y entrega de materiales (físico - digital),26-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.4.    Fortalecimiento pedagógico del equipo docente,Ejecución del Plan de formación docente : ,"
5) Un informe parcial que dé cuenta de las actividades adelantadas con los docentes para el desarrollo de los aprendizajes y competencias de los estudiantes y la 
orientación socio-ocupacional, para el periodo acordado con la supervisión en el plan de trabajo. - Informe de formación docente con asistencia y evaluación de impacto",Segundo entregable,Ejecución del Plan de formación docente : ,1-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.4.    Fortalecimiento pedagógico del equipo docente,Ejecución del Plan de formación docente : ,2) Informe que dé cuenta del proceso de formación de los docentes para el periodo acordado con la supervisión en el plan de trabajo. ,Tercer entregable,Ejecución del Plan de formación docente : ,26-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.4.    Fortalecimiento pedagógico del equipo docente,Ejecución del Plan de formación docente : ," 5) Un informe final que dé cuenta de las actividades adelantadas con los docentes para 
el desarrollo de los aprendizajes y competencias ",Quinto entregable,Ejecución del Plan de formación docente : ,29-Nov-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.5.    Formación de estudiantes,Definición de Plan de formación,Plan de formación de estudiantes,Primer entregable,Definición de Plan de formación,8-Aug-25,x,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.5.    Formación de estudiantes,Evaluación del proceso formativo,"Base de datos con asistencia, evaluaciones y seguimiento.",,Evaluación del proceso formativo,,x,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.6.  Seguimiento y recolección de evidencias de aprendizaje,Evaluación del proceso formativo,"4) Un informe parcial que dé cuenta de las actividades adelantadas con los estudiantes para el desarrollo de sus aprendizajes y competencias, para el periodo acordado con la supervisión en el plan de trabajo. ",Segundo entregable,Evaluación del proceso formativo,1-Sep-25,X,
1.    Articulación armoniosa,1.1.    Fortalecimiento de aprendizajes y competencias ,1.1.6.  Seguimiento y recolección de evidencias de aprendizaje,Evaluación del proceso formativo,4) Un informe final que dé cuenta de las actividades adelantadas con los estudiantes para el desarrollo de sus aprendizajes y competencias acompañados de la base de datos que registra la asistencia de cada  estudiante. ,Quinto entregable,Evaluación del proceso formativo,29-Nov-25,X,
1.    Articulación armoniosa,1.2   Orientación socio-ocupacional,1.2.1.    Diagnóstico sobre la institucionalización de la orientación socio ocupacional en IEM,Necesidades - intereses y expectativas de los estudiantes,Informe,Segundo entregable,Necesidades - intereses y expectativas de los estudiantes,1-Sep-25,x,
1.    Articulación armoniosa,1.2   Orientación socio-ocupacional,1.2.2.  Fortalecimiento de capacidades de la IEM,Diseño del plan de orientación socio-ocupacional (O.S.O),Plan de orientación socio-ocupacional y guías metodológicas.,Primer entregable,Diseño del plan de orientación socio-ocupacional (O.S.O),8-Aug-25,x,
1.    Articulación armoniosa,1.2   Orientación socio-ocupacional,1.2.3. Equipo docente,Definir los docentes que participarán ,Equipo docente definido,Primer entregable,Definir los docentes que participarán ,8-Aug-25,X,
1.    Articulación armoniosa,1.2   Orientación socio-ocupacional,1.2.4.   Seguimiento y divulgación,Plan de seguimiento OSO,"5) Un informe parcial que dé cuenta de las actividades adelantadas con los docentes para el desarrollo de la
orientación socio-ocupacional, para el periodo acordado con la supervisión en el 
plan de trabajo. - Informe de formación docente con asistencia y evaluación de impacto",Segundo entregable,Plan de seguimiento OSO,1-Sep-25,x,
1.    Articulación armoniosa,1.2   Orientación socio-ocupacional,1.2.4.   Seguimiento y divulgación,Plan de seguimiento OSO,5) Un informe final que dé cuenta de las actividades adelantadas con los docentes para el desarrollo de los aprendizajes y competencias de los estudiantes y la orientación socio-ocupacional. ,Quinto entregable,Plan de seguimiento OSO,29-Nov-25,X,
1.    Articulación armoniosa,1.2   Orientación socio-ocupacional,1.2.4.   Seguimiento y divulgación,Plan de seguimiento OSO,4) Planes de orientación socio-ocupacional diseñados / ajustados de las IEM  acompañados de los materiales de aprendizaje diseñados / adaptados. ,Tercer entregable,Plan de seguimiento OSO,26-Sep-25,X,
1.    Articulación armoniosa,1.2   Orientación socio-ocupacional,1.2.4.   Seguimiento y divulgación,Plan de seguimiento OSO,4) Un informe final que dé cuenta de las actividades adelantadas con los estudiantes para el desarrollo  de orientación socio ocupacional acompañados de la base de datos que registra la asistencia de cada estudiante. ,Quinto entregable,Plan de seguimiento OSO,29-Nov-25,X,
1.    Articulación armoniosa,1.2   Orientación socio-ocupacional,1.2.4.   Seguimiento y divulgación,Socialización del Plan con el MEN y comunidad educativa,,Primer entregable,Socialización del Plan con el MEN y comunidad educativa,8-Aug-25,x,
1.    Articulación armoniosa,1.3 Fortalecimiento Familia - Escuela - Comunidad,1.3.2. Diseño y ejecución de estrategia de participación,Diseño un plan de acción para fortalecer la alianza familia – escuela,Estrategia de participación de familias y comunidad.,Primer entregable,Diseño un plan de acción para fortalecer la alianza familia – escuela,8-Aug-25,x,
1.    Articulación armoniosa,1.3 Fortalecimiento Familia - Escuela - Comunidad,1.3.2. Diseño y ejecución de estrategia de participación,Socialización del plan de acción para fortalecer la alianza familia – escuela,"Reunión por semestre con padres, madres o acudientes y como mínimo una reunión con la comunidad educativa.",Segundo entregable,Socialización del plan de acción para fortalecer la alianza familia – escuela,1-Sep-25,x,
1.    Articulación armoniosa,1.3 Fortalecimiento Familia - Escuela - Comunidad,1.3.2. Diseño y ejecución de estrategia de participación,Desarrollo de actividades de formación socioemocional con las familias,1) Un informe que dé cuenta de las actividades desarrolladas en el marco del plan de acción para el fortalecimiento de la relación familia – escuela – comunidad. ,Cuarto entregable,Desarrollo de actividades de formación socioemocional con las familias,31-Oct-25,x,
2.    Tránsito anticipado,2.1.    Oferta académica,2.1.1. Organización de cursos académicos homologables para educación superior.,Ajuste del contenido de cada curso preferencias individuales de estudiantes,5) Documento que contenga la información relacionada con los cursos del currículo genérico de los programas universitarios pertinentes para el contexto local y alineados con los intereses de los estudiantes de las IEM que serán ofertados por la IES.  ,Tercer entregable,Ajuste del contenido de cada curso preferencias individuales de estudiantes,26-Sep-25,X,
2.    Tránsito anticipado,2.1.    Oferta académica,2.1.1. Organización de cursos académicos homologables para educación superior.,Análisis y organización de  competencias de la educación media que puedan ser eventualmente homologadas y su relación con las carreras profesionales.,6) Propuesta de fortalecimiento del currículo de educación media de las IEM en competencias que puedan ser eventualmente homologables por la educación superior. ,Tercer entregable,Análisis y organización de  competencias de la educación media que puedan ser eventualmente homologadas y su relación con las carreras profesionales.,26-Sep-25,X,
2.    Tránsito anticipado,2.1.    Oferta académica,2.1.1. Organización de cursos académicos homologables para educación superior.,"Análisis y definición de créditos, contenidos y evidencias de aprendizaje sujetos de homologación ","7) Un informe parcial que dé cuenta del desarrollo de los cursos del currículo genérico de los programas universitaritos pertinentes para el contexto local y alineados con los intereses de los estudiantes de las IEM acompañados de la base de datos que registra la asistencia y la obtención (o no) de micro credenciales certificadas de cada estudiante, para el periodo acordado con la supervisión en el plan de trabajo. ",Tercer entregable,"Análisis y definición de créditos, contenidos y evidencias de aprendizaje sujetos de homologación ",26-Sep-25,X,
2.    Tránsito anticipado,2.1.    Oferta académica,2.1.1. Organización de cursos académicos homologables para educación superior.,"Análisis y definición de créditos, contenidos y evidencias de aprendizaje sujetos de homologación ",6) Un informe final que dé cuenta del desarrollo de los cursos del currículo genérico de los programas universitaritos pertinentes para el contexto local y alineados con los intereses de los estudiantes de las IEM acompañados de la base de datos que registra la asistencia y la obtención (o no) de micro credenciales certificadas de cada estudiante. ,Quinto entregable,"Análisis y definición de créditos, contenidos y evidencias de aprendizaje sujetos de homologación ",29-Nov-25,X,
2.    Tránsito anticipado,2.1.    Oferta académica,2.1.1. Organización de cursos académicos homologables para educación superior.,Análisis de las barreras de acceso a la educación superior ,6) Propuesta de fortalecimiento del currículo de educación media de las IEM en competencias que puedan ser eventualmente homologables por la educación superior. ,Tercer entregable,Análisis de las barreras de acceso a la educación superior ,26-Sep-25,X,
2.    Tránsito anticipado,2.1.    Oferta académica,2.1.1. Organización de cursos académicos homologables para educación superior.,Análisis de las barreras de acceso a la educación superior ,7) Informe final que dé cuenta de las actividades adelantadas para el fortalecimiento del currículo de educación media de las IEM en competencias que puedan ser eventualmente homologables por la educación superior. ,Quinto entregable,Análisis de las barreras de acceso a la educación superior ,29-Nov-25,X,
2.    Tránsito anticipado,2.1.    Oferta académica,2.1.1. Organización de cursos académicos homologables para educación superior.,Diseño de estrategias para superar las barreras de acceso. ,3) Informe que dé cuenta del acompañamiento a los estudiantes de las IEM en el proceso de aplicación e inscripción en programas de educación postmedia.  ,Quinto entregable,Diseño de estrategias para superar las barreras de acceso. ,29-Nov-25,X,
2.    Tránsito anticipado,2.2. Inducción a la vida universitaria,2.1.1. Organización de cursos académicos homologables para educación superior.,Diseño e implementación de una estrategia de inducción a la vida universitaria,"2) Informe que dé cuenta de las actividades desarrolladas en el marco de la estrategia diseñada por la IES para la inducción a la vida universitaria de los estudiantes de las 
IEM. ",Cuarto entregable,Diseño e implementación de una estrategia de inducción a la vida universitaria,31-Oct-25,X,
3.   Componentes transversales,3.1.  Monitoreo de los estudiantes,Evaluación Formativa Estudiantes,Evaluación Formativa de competencias básicas: matemáticas,"1) Base de datos con los resultados de la prueba formativa aplicada a los estudiantes de las IEM durante el periodo de intervención por parte de la IES en la fecha 
acordada con la supervisión en el plan de trabajo. ",Tercer entregable,Evaluación Formativa de competencias básicas: matemáticas,26-Sep-25,X,
3.   Componentes transversales,3.1.  Monitoreo de los estudiantes,Evaluación Formativa Estudiantes,Evaluación Formativa de competencias básicas: lenguaje,"1) Base de datos con los resultados de la prueba formativa aplicada a los estudiantes de las IEM durante el periodo de intervención por parte de la IES en la fecha 
acordada con la supervisión en el plan de trabajo. ",Tercer entregable,Evaluación Formativa de competencias básicas: lenguaje,26-Sep-25,X,
3.   Componentes transversales,3.1.  Monitoreo de los estudiantes,Evaluación Formativa Estudiantes,Evaluación Formativa competencias socioemocionales,"1) Base de datos con los resultados de la prueba formativa aplicada a los estudiantes de las IEM durante el periodo de intervención por parte de la IES en la fecha 
acordada con la supervisión en el plan de trabajo. ",Tercer entregable,Evaluación Formativa competencias socioemocionales,26-Sep-25,X,
3.   Componentes transversales,3.1.  Monitoreo de los estudiantes,Evaluación Sumativa Estudiantes,Evaluación Sumativa de competencias básicas: matemáticas,1) Base de datos con los resultados de la prueba sumativa aplicada a los estudiantes de las IEM al finalizar la intervención por parte de la IES.  ,Quinto entregable,Evaluación Sumativa de competencias básicas: matemáticas,29-Nov-25,X,
3.   Componentes transversales,3.1.  Monitoreo de los estudiantes,Evaluación Sumativa Estudiantes,Evaluación Sumativa de competencias básicas: lenguaje,1) Base de datos con los resultados de la prueba sumativa aplicada a los estudiantes de las IEM al finalizar la intervención por parte de la IES.  ,Quinto entregable,Evaluación Sumativa de competencias básicas: lenguaje,29-Nov-25,X,
3.   Componentes transversales,3.1.  Monitoreo de los estudiantes,Evaluación Sumativa Estudiantes,Evaluación Sumativa competencias socioemocionales,1) Base de datos con los resultados de la prueba sumativa aplicada a los estudiantes de las IEM al finalizar la intervención por parte de la IES.  ,Quinto entregable,Evaluación Sumativa competencias socioemocionales,29-Nov-25,X,
3.   Componentes transversales,3.1.  Monitoreo de los estudiantes,Evaluación Sumativa Estudiantes,Socializar los diagnósticos y plan de trabajo con comunidad educativa.,Informe de la actividad de socialización de diagnósticos y plan de trabajo IES  con registro de asistentes de la comunidad educativa ,Primer entregable,Socializar los diagnósticos y plan de trabajo con comunidad educativa.,8-Aug-25,X,
3.   Componentes transversales,3.2 Bienestar Estudiantil,Diseño de una estrategia de bienestar estudiantil orientada a extender su oferta a la IEM de acuerdo con las particularidades del contexto.,"Jornadas de bienestar: actividades culturales, 
artísticas, recreativas y deportivas que promuevan la salud física y emocional 
 Servicios integrales de bienestar : servicios de apoyo psicológico y de salud mental - recursos educativos disponibles o accesibles en sus municipios como 
bibliotecas 
 Orientación y apoyo académico : por ejemplo, 
mentorías ","7) Documento que contenga la descripción y programación de la oferta de bienestar estudiantil a ser provista por la IES (servicios de bienestar, jornadas de bienestar para la promoción de la salud física y emocional, acompañamiento psicosocial para estudiantes con necesidades críticas (si hubiere lugar) y desarrollo de mentorías con los estudiantes). ",Segundo entregable,"Jornadas de bienestar: actividades culturales, 
artísticas, recreativas y deportivas que promuevan la salud física y emocional 
 Servicios integrales de bienestar : servicios de apoyo psicológico y de salud mental - recursos educativos disponibles o accesibles en sus municipios como 
bibliotecas 
 Orientación y apoyo académico : por ejemplo, 
mentorías ",1-Sep-25,X,X
3.   Componentes transversales,3.2 Bienestar Estudiantil,Diseño de una estrategia de bienestar estudiantil orientada a extender su oferta a la IEM de acuerdo con las particularidades del contexto.,"Jornadas de bienestar: actividades culturales, 
artísticas, recreativas y deportivas que promuevan la salud física y emocional 
 Servicios integrales de bienestar : servicios de apoyo psicológico y de salud mental - recursos educativos disponibles o accesibles en sus municipios como 
bibliotecas 
 Orientación y apoyo académico : por ejemplo, 
mentorías ","3) Informe que dé cuenta de la provisión de servicios de bienestar, la realización de jornadas de bienestar para la promoción de la salud física y emocional, el  acompañamiento psicosocial para estudiantes con necesidades críticas (si hubiere lugar) y el desarrollo de mentorías con los estudiantes de acuerdo con el plan de 
trabajo aprobado por la supervisión del convenio. ",Cuarto entregable,"Jornadas de bienestar: actividades culturales, 
artísticas, recreativas y deportivas que promuevan la salud física y emocional 
 Servicios integrales de bienestar : servicios de apoyo psicológico y de salud mental - recursos educativos disponibles o accesibles en sus municipios como 
bibliotecas 
 Orientación y apoyo académico : por ejemplo, 
mentorías ",31-Oct-25,X,
3.   Componentes transversales,3.3 Formalización de acuerdos institucionales, Suscripción de los compromisos y responsabilidades de las partes involucradas en asuntos básicos.,"(1) la definición de las reglas de la administración de los espacios físicos, manejo de dotaciones e inventarios 
(2) la f financiación de costos operativos (aseo, vigilancia, servicios públicos); 
(3) la financiación de gastos de adecuaciones físicas y dotaciones; 
(4) el alcance de las acciones de bienestar y permanencia; 
(5) el ajuste a los requisitos de ingreso y reducción de barreras de acceso en educación superior; 
(6) la conformación de equipos de trabajo;
 (7) la sistematización de información","8) Documento firmado por la IES y por las IEM que registre los acuerdos establecidos para: (i) administrar espacios; (ii) financiar costos operativos; (iii) adecuaciones y 
dotaciones; (iv) bienestar y permanencia; (v) ingreso y reducción de barreras de acceso a educación superior; (vi) equipos de trabajo; y (vii) sistematización de información. ",Segundo entregable,"(1) la definición de las reglas de la administración de los espacios físicos, manejo de dotaciones e inventarios 
(2) la f financiación de costos operativos (aseo, vigilancia, servicios públicos); 
(3) la financiación de gastos de adecuaciones físicas y dotaciones; 
(4) el alcance de las acciones de bienestar y permanencia; 
(5) el ajuste a los requisitos de ingreso y reducción de barreras de acceso en educación superior; 
(6) la conformación de equipos de trabajo;
 (7) la sistematización de información",1-Sep-25,X,X